,confidence,consensus,id,net spoke 5% similarity,net spoke 95% similarity,net spoke PC1,spoke 5% similarity,spoke 95% similarity,spoke PC1,survey 5% similarity,survey 95% similarity,survey PC1,t,network
GT_2RErnuyZ5YmzTzpxh_1,50.26315789473684,49.05263157894737,2RErnuyZ5YmzTzpxh,-0.0761330543078184,0.26692117038360647,0.14552717431999526,-0.2956954765937585,0.7658692430600651,0.357379050250739,-0.3146445957925921,0.7838162306503255,0.3014328541862352,1,1
GT_7kcXpJaQqJmx68nYz_0,52.35,46.55,7kcXpJaQqJmx68nYz,-0.11394691897624556,0.07669771112850758,0.035459656882334975,-0.08085399482156473,0.7151647813935956,0.3093585446802096,-0.5261605961952004,0.6726792046799432,0.3841849749007848,0,0
GT_7kcXpJaQqJmx68nYz_1,54.45,50.45,7kcXpJaQqJmx68nYz,-0.08836399372868928,0.03294895073228941,0.027244945664789508,-0.17963171265809907,0.6237101692258926,0.23151312309444974,-0.43363522361267426,0.7369509208019327,0.2907349898822579,1,0
GT_RLNbvyv9ipkrkPJKc_0,65.85,69.9,RLNbvyv9ipkrkPJKc,-0.12373271025369516,0.3776172590419555,0.23101158629542573,-0.3686615850140017,0.830681557314709,0.42272272953296186,-0.5925988134502873,0.5739035086796824,0.44800324842847905,0,1
GT_RLNbvyv9ipkrkPJKc_1,71.84210526315789,71.0,RLNbvyv9ipkrkPJKc,-0.07369677555866376,0.25571894870982853,0.16616093497476037,-0.3171362311177258,0.6929810507654272,0.35191085805843886,-0.5367608075601717,0.6120301864330734,0.32207958612249965,1,1
GT_mYHZ32AyKCmNrfSY5_0,53.7,57.3,mYHZ32AyKCmNrfSY5,-0.010377562150005754,0.012788646679396228,0.004924712695593627,-0.15414036748634571,0.5754711987384435,0.3054108591927033,-0.45031305899890983,0.6519624748470662,0.3075275526987486,0,0
GT_mYHZ32AyKCmNrfSY5_1,73.44444444444444,67.55555555555556,mYHZ32AyKCmNrfSY5,-0.019236236337249135,0.07311068657428688,0.0715462693734765,-0.21549855796030776,0.6330427056250623,0.2876301974964213,-0.5212927222898791,0.5419360145547524,0.41869923048454666,1,0
GT_55mC2NYGpS5sYb46x_0,61.8421052631579,61.8421052631579,55mC2NYGpS5sYb46x,-0.11804713222048908,0.24358152987992543,0.30173850724445533,-0.1965531908682726,0.8320502943378437,0.48949323616122875,-0.549005571906687,0.8069973704427864,0.4499909484756914,0,1
GT_55mC2NYGpS5sYb46x_1,60.8421052631579,54.421052631578945,55mC2NYGpS5sYb46x,-0.08527874812600222,0.3050078285662501,0.2411892050901486,-0.28867513459481287,0.8856148855400952,0.4380698042243413,-0.5995384797864898,0.7158172962205425,0.3415425772729556,1,1
GT_KtFjB6pDKRispFwCs_0,44.75,45.65,KtFjB6pDKRispFwCs,-0.08856163314653367,0.0444015296668876,0.007873498826979122,-0.03126160234924798,0.7172093795569767,0.27225616006511605,-0.2000253509417857,0.7386328346999973,0.2849764913813631,0,0
GT_KtFjB6pDKRispFwCs_1,51.35,50.2,KtFjB6pDKRispFwCs,-0.0006427130796271806,0.041087683980834525,0.030115352120355175,-0.01796351736908694,0.6797764665411595,0.28822398379002534,-0.45827233921644844,0.6062055646252995,0.24448684468953585,1,0
GT_yGuanMgCM54YkTWBP_0,58.8421052631579,58.8421052631579,yGuanMgCM54YkTWBP,-0.1134491595206667,0.2829635608414991,0.17570094936202937,-0.3704792868174742,0.7528902155567445,0.3611192890580587,-0.5571631795465776,0.7260516055210968,0.4019309125349552,0,1
GT_yGuanMgCM54YkTWBP_1,63.75,56.7,yGuanMgCM54YkTWBP,0.0064487212440556664,0.08530914592724995,0.0881706912504433,0.12187728419159152,0.8373821374162729,0.2964662141902469,-0.31462545007567067,0.6939824594868128,0.30861389716744164,1,1
GT_W3Pr3tyHAoPsyoZxh_0,51.85,59.8,W3Pr3tyHAoPsyoZxh,-0.07502055972894292,0.049908670218503,0.013966145284718252,-0.10889951770439535,0.7186352999327359,0.24636630176346622,-0.3044828250272307,0.7053009130606573,0.28772614819328945,0,0
GT_W3Pr3tyHAoPsyoZxh_1,54.8421052631579,51.8421052631579,W3Pr3tyHAoPsyoZxh,-0.034753993401563765,0.08343961870506933,0.03073399189520773,-0.2531989699854282,0.577419011149896,0.218638543151178,-0.5254057512208621,0.5767135642833858,0.27327147826926595,1,0
GT_sKStjcTJvnnofxCgB_0,59.65,54.8,sKStjcTJvnnofxCgB,-0.22589845974112532,0.3132763793077823,0.26879602824032534,-0.4307967003373816,0.8390044153722707,0.46863021229761004,-0.5569506127238675,0.6213710552454552,0.3001101270071479,0,1
GT_sKStjcTJvnnofxCgB_1,64.0,64.83333333333333,sKStjcTJvnnofxCgB,-0.07872159520090061,0.15435881709465882,0.15245415588750333,-0.2659158200509647,0.6943695587594731,0.4051648515182544,-0.590119259200596,0.7098814634733781,0.3959804005449825,1,1
GT_BhccgcKQe7bpH7pWi_0,67.55,65.7,BhccgcKQe7bpH7pWi,-0.055399959922248644,0.1278395474312944,0.054293187314772035,-0.2779649175797833,0.619114859026187,0.2515438055819383,-0.3765447129276232,0.6673418434971783,0.2824755750972644,0,0
